type,x,race,race subcategory,y,year,label,label size category
area,0.18,WHITES,1,1,1890,,
area,0.25,MULATTOES,1,1,1890,,
area,0.3,MULATTOES,2,1,1890,,
area,0.36,MULATTOES,3,1,1890,,
area,0.37,MULATTOES,4,1,1890,,
area,0.45,MULATTOES,5,1,1890,,
area,1,NEGROES,1,1,1890,,
area,0.22,WHITES,1,0.67,1860,,
area,0.26,MULATTOES,1,0.67,1860,,
area,0.3,MULATTOES,2,0.67,1860,,
area,0.34,MULATTOES,3,0.67,1860,,
area,0.35,MULATTOES,4,0.67,1860,,
area,0.4,MULATTOES,5,0.67,1860,,
area,0.72,NEGROES,1,0.67,1860,,
area,0.26,WHITES,1,0.33,1840,,
area,0.28,MULATTOES,1,0.33,1840,,
area,0.3,MULATTOES,2,0.33,1840,,
area,0.32,MULATTOES,3,0.33,1840,,
area,0.33,MULATTOES,4,0.33,1840,,
area,0.34,MULATTOES,5,0.33,1840,,
area,0.58,NEGROES,1,0.33,1840,,
area,0.3,WHITES,1,0,1800,,
area,0.3,MULATTOES,1,0,1800,,
area,0.3,MULATTOES,2,0,1800,,
area,0.31,MULATTOES,3,0,1800,,
area,0.31,MULATTOES,4,0,1800,,
area,0.31,MULATTOES,5,0,1800,,
area,0.4,NEGROES,1,0,1800,,
area,0.3,WHITES,1,-0.02,1795,,
area,0.3,MULATTOES,1,-0.02,1795,,
area,0.3,MULATTOES,2,-0.02,1795,,
area,0.3,MULATTOES,3,-0.02,1795,,
area,0.3,MULATTOES,4,-0.02,1795,,
area,0.3,MULATTOES,5,-0.02,1795,,
area,0.39,NEGROES,1,0,1795,,
label,0.3,,,1.02,,0.15,1
label,0.68,,,1.02,,0.85,1
label,0.99,,,1.02,,1890,1
label,0.3,,,0.98,,1.113.063,0
label,0.68,,,0.98,,6.337.980,3
label,0.14,,,0.8,,WHITES,2
label,0.31,,,0.8,,"MULATTOES,MULATRES",1
label,0.53,,,0.79,,NEGROES,2
label,0.3,,,0.67,,"411.613, 10%",1
label,0.54,,,0.67,,"3.542.147,90%",2
label,0.76,,,0.67,,1860,1
label,0.64,,,0.33,,1840,1
label,0.45,,,0,,1890,1
